id,ingredient_name,therapeutic_class
1,ibuprofen,other
2,none,none
3,aceclofenac,analgesic
4,fluticasone propionate,other
5,clindamycin,other
6,fusidic acid,other
7,ketoconazole,other
8,alprazolam,other
9,piroxicam,other
10,cetirizine,antihistamine
11,paracetamol,analgesic
12,domperidone,antacid
13,nimesulide,analgesic
14,cyproheptadine,other
15,acebrophylline,other
16,isotretinoin,other
17,ofloxacin,other
18,amitriptyline,antidepressant
19,amoxycillin,antibiotic
20,permethrin,other
21,doxycycline,other
22,thyroxine,other
23,sodium chloride,other
24,dexchlorpheniramine,antihistamine
25,ibuprofen,analgesic
26,itraconazole,other
27,pantoprazole,antacid
28,methylcobalamin,other
29,caffeine,antihistamine
30,rivaroxaban,other
31,chlorpheniramine maleate,antihistamine
32,tranexamic acid,other
33,azithromycin,antibiotic
34,oxetacaine,other
35,xylometazoline,other
36,prednisolone,corticosteroid
37,citicoline,other
38,telmisartan,antihypertensive
39,terbinafine,other
40,valproic acid,other
41,tramadol,other
42,metronidazole,other
43,albendazole,other
44,miconazole,other
45,caffeine,analgesic
46,solifenacin,other
47,nebivolol,antihypertensive
48,propranolol,other
49,ornidazole,other
50,oxytetracycline,other
51,meropenem,other
52,mometasone,other
53,etoricoxib,other
54,clobetasol,other
55,cefixime,antibiotic
56,guaifenesin,other
57,tadalafil,other
58,aspirin,other
59,timolol,other
60,lornoxicam,other
61,metoprolol succinate,diuretic
62,triamcinolone acetonide,other
63,tolperisone,other
64,simethicone,other
65,metformin,antidiabetic
66,carboxymethylcellulose,other
67,lactobacillus,other
68,doxylamine,other
69,rosuvastatin,other
70,cetrimide,other
71,diclofenac,analgesic
72,isosorbide mononitrate,other
73,glimepiride,antidiabetic
74,primaquine,other
75,ciclopirox,other
76,letrozole,other
77,ciprofloxacin,antibiotic
78,drotaverine,other
79,saxagliptin,antidiabetic
80,piracetam,other
81,levofloxacin,other
82,deflazacort,other
83,adapalene,other
84,dicyclomine,analgesic
85,folic acid,other
86,chloramphenicol,other
87,ketorolac,other
88,vitamin a,other
89,amiodarone,other
90,trypsin,other
91,levocetirizine,antihistamine
92,azelaic acid,other
93,norethisterone,other
94,pregabalin,other
95,dexamethasone,corticosteroid
96,ofloxacin,corticosteroid
97,fentanyl,other
98,chloroquine,other
99,flavoxate,other
100,olmesartan medoxomil,antihypertensive
101,vitamin d3,other
102,levosalbutamol,bronchodilator
103,valdecoxib,other
104,lidocaine,other
105,disulfiram,other
106,minoxidil,other
107,clonazepam,other
108,bromhexine,bronchodilator
109,oxymetazoline,other
110,gliclazide,antidiabetic
111,triamcinolone,other
112,salicylic acid,other
113,valsartan,other
114,fenofibrate,other
115,atorvastatin,other
116,sucralfate,other
117,tetracycline,other
118,cefpodoxime proxetil,other
119,hydroquinone,other
120,domperidone,analgesic
121,dienogest,other
122,choline salicylate,other
123,febuxostat,other
124,cefuroxime,other
125,ivermectin,other
126,metoclopramide,other
127,isoxsuprine,other
128,eszopiclone,other
129,acyclovir,other
130,tamsulosin,other
131,ondansetron,other
132,domperidone,other
